IssueKey;locale;IssueText
19;es;Creación de factura pendiente
20;es;Orden de proceso no publicado
21;es;Justificante de entrega no confirmado
22;es;Reglas de negocio no respetadas (H)
23;es;Regla(s) de negocio no respetadas (DO)
24;es;Regla(s) de negocio no respetadas (I)
25;es;Transporte físico no completado
26;es;TRACE
27;es;Transporte previo no encontrado
28;es;Orden de proceso no confirmada
29;es;Shipment Status unknown
30;es;Delivered Incorrectly
34;es;Cantidad pedido de ventas no confirmada completamente
35;es;Creación de entrega pendiente
36;es;Delivery Block en pedido de venta
37;es;Delivery Block en entrega de salida
50;es;Registro de recepción de mercancías
01;fr;Commande incomplète
02;fr;Routine de commande BASF non satisfaisante
03;fr;Bons de livraison multiples dans la commande
04;fr;Bons de livraison multiples dans la sortie de marchandise
05;fr;Sortie de marchandise incomplète
06;fr;Contrôle crédit
07;fr;Blocage Embargo
08;fr;Entrée de marchandise manquante
09;fr;Entrée de marchandises statistiques manquante
10;fr;Echec de la création du bon de commande
11;fr;Echec de la transmission du bon de commande
12;fr;Blocage facturation
13;fr;Echec du transfert de la facture à la comptabilité
14;fr;Quantité de commande pas entièrement confirmée
15;fr;Création d'une livraison en attente
16;fr;Planning de transport en attente
17;fr;Sélection de la livraison en attente
18;fr;Entregistrement de la sortie de marchandise en attente
19;fr;Création de la facture en attente
20;fr;Ordre de traitement non débloqué
21;fr;Preuve de livraison non confirmé
22;fr;Règle(s) d'entreprise non respectée
23;fr;Règle(s) d'entreprise non respectée
24;fr;Règle(s) d'entreprise non respectée
25;fr;Delai manquant
26;fr;TRACE
27;fr;Pre-leg missing
28;fr;Ordre de traitement non confirmé
29;fr;Shipment Status unknown
30;fr;Delivered Incorrectly
34;fr;Quantité de commande pas entièrement confirmée
35;fr;Création d'une livraison en attente
36;fr;Bons de livraison dans la commande
37;fr;Bons de livraison dans la sortie de marchandise
50;fr;Réception des marchandises par voie postale
01;it;Ordine incompleto
02;it;Controllo periodico BASF non soddisfatto
03;it;Consegna multipla bloccata nell'ordine di vendita
04;it;Consegna multipla bloccata nella consegna in uscita
05;it;Consegna in uscita bloccata
06;it;Blocco Credito
07;it;Blocco GTS
08;it;Consegna in entrata mancante
09;it;Mancanza di ricevuta di beni statistici
10;it;Creazione PO fallita
11;it;Trasmissione PO fallita
12;it;Blocco di fatturazione
13;it;Trasferimento della fattura alla contabilità non riuscita
14;it;La quantità dell'ordine di vendita non è stata completamente confermata
15;it;Consegna eccezionale
16;it;Pianificazione del trasporto eccezionale
17;it;Ritiro di consegna eccezionale
18;it;Distacco di merci eccezionale
19;it;Creazione di fatture eccezionale
20;it;Ordine di processo non rilasciato
21;it;Prova di consegna non registrata
22;it;Regole aziendali violate (H)
23;it;Regole aziendali violate (DO)
24;it;Regole aziendali violate (I)
25;it;Trasporto fisico non completato
26;it;TRACE
27;it;Pre-leg missing
28;it;Ordine di processo non confermato
29;it;Shipment Status unknown
30;it;Delivered Incorrectly
34;it;La quantità dell'ordine di vendita non è stata completamente confermata
35;it;Consegna eccezionale
36;it;Consegna bloccata nell'ordine di vendita
37;it;Consegna bloccata nella consegna in uscita
50;it;Invia la ricevuta della merce
01;pt;Ordem incompleta
02;pt;Check list BASF incompleto
03;pt;Bloqueios ordem de venda
04;pt;Bloqueios de remessa
05;pt;Remessa incompleta
06;pt;Bloqueio de crédito
07;pt;Bloqueio GTS
08;pt;Recebimento pendente
09;pt;Falha no recebimento da mercadoria
10;pt;Falha na criação do pedido
11;pt;Falha na transmissão do pedido
12;pt;Bloqueio de faturamento
13;pt;Não contabilizado
14;pt;Quantidade da ordem de vendas não confirmada na totalidade
15;pt;Criação de remessa pendente
16;pt;Planejamento de transporte pendente
17;pt;Picking pendente
18;pt;Saída da mercadoria pendente
19;pt;Faturamento pendente
20;pt;Ordem de processo não liberada
21;pt;Canhoto de entrega pendente
22;pt;Violação das regras de negócio (H)
23;pt;Violação das regras de negócio (DO)
24;pt;Violação das regras de negócio (I)
25;pt;Transporte não finalizado
26;pt;Tracking
27;pt;Pre leg pendente
28;pt;Ordem de processo não confirmada
29;pt;Shipment Status unknown
30;pt;Delivered Incorrectly
34;pt;Quantidade da ordem de vendas não confirmada na totalidade
35;pt;Criação da remessa pendente
36;pt;Bloqueios ordem de venda
37;pt;Bloqueios de remessa
50;pt;Receção de Mercadorias
01;tr;Siparişte eksiklik
02;tr;BASF iş akışına uygun değil
03;tr;Satış siparişinde MDB Blokajı
04;tr;Gönderilen teslimatta MDB Blokajı
05;tr;Gönderilen teslimatta eksiklik
06;tr;Kredi blokajı
07;tr;GTS Blokajı
08;tr;Alınan teslimatta eksiklik
09;tr;İstatistiksel mal girişi eksikliği
10;tr;PO yaratma başarısız
11;tr;PO aktarımı başarısız
12;tr;Faturalama blokajı
13;tr;Faturanın muhasebeye aktarımı başarısız
14;tr;Satış siparişi miktarının tamamı onaylanmadı
15;tr;Teslimat yaratmada gecikme
16;tr;Nakliye planlamasında gecikme
17;tr;Teslimatın çekme işleminde gecikme
18;tr;Mal çıkışı kaydında gecikme
19;tr;Fatura yaratmada gecikme
20;tr;İşlem onaylanmadi
21;tr;Teslimat Kaydedilmedi
22;tr;BRM kural ihlali (H)
23;tr;BRM kural ihlali (DO)
24;tr;BRM kural ihlali (I)
25;tr;Fiili tasima tamamlanmadi
26;tr;TRACE
27;tr;Pre-leg missing
28;tr;İşlem onaylanmadi
29;tr;Shipment Status unknown
30;tr;Delivered Incorrectly
34;tr;Satış siparişi miktarının tamamı onaylanmadı
35;tr;Teslimat yaratmada gecikme
36;tr;Satış Siparişinde Teslimat Bloğu
37;tr;Giden Teslimatta Teslimat Bloğu
50;tr;Malların Teslim Alınması
